cluster,FEPA
Ag1Mn1S1N1-,-2.4639
Ag1Mn1S1O1-,-2.6655
Ag1Mn1S1,-1.8531
Ag1Mn1S1-,-1.6855
Ag1Mn1S2,-2.4663
Ag1Mn1S2-,-2.5344
Ag1Mn1S2+,-2.2787
Ag1Mo1C1,-2.2389
Ag1Mo1C1+,-2.4286
Ag1Mo1C2,-3.3189
Ag1Mo1C2-,-3.4021
Ag1Mo1C2+,-3.4664
Ag1Mo1N1C1,-3.3288
Ag1Mo1N1C1-,-3.5999
Ag1Mo1N1,-2.4056
Ag1Mo1N1+,-2.5143
Ag1Mo1N2,-2.9177
Ag1Mo1N2-,-3.0948
Ag1Mo1O1C1-,-3.4520
Ag1Mo1O1N1,-3.2610
Ag1Mo1O1N1-,-3.5241
Ag1Mo1O1,-2.5224
Ag1Mo1O1+,-2.6036
Ag1Mo1O2,-3.5836
Ag1Mo1O2-,-3.8430
Ag1Mo1O2+,-3.4533
Ag1Mo1S1C1,-2.8536
Ag1Mo1S1C1-,-2.8584
Ag1Mo1S1N1,-2.8678
Ag1Mo1S1N1-,-2.9996
Ag1Mo1S1O1,-3.1486
Ag1Mo1S1O1-,-3.2807
Ag1Mo1S1,-1.9236
Ag1Mo1S1+,-2.0543
Ag1Mo1S2,-2.7069
Ag1Mo1S2-,-2.8699
Ag1Mo1S2+,-2.7215
Ag1Nb1C1,-2.5411
Ag1Nb1C1+,-2.8095
Ag1Nb1C2,-3.6120
Ag1Nb1C2-,-3.7891
Ag1Nb1C2+,-3.7496
Ag1Nb1N1C1,-3.5357
Ag1Nb1N1,-2.7341
Ag1Nb1N1+,-2.7624
Ag1Nb1N2,-3.1546
Ag1Nb1N2-,-3.3732
Ag1Nb1N2+,-3.2137
Ag1Nb1O1C1,-3.5341
Ag1Nb1O1N1,-3.5559
Ag1Nb1O1N1-,-3.8619
Ag1Nb1O1,-3.1841
Ag1Nb1O1+,-3.1282
Ag1Nb1O2,-4.1454
Ag1Nb1O2-,-4.3544
Ag1Nb1O2+,-3.9513
Ag1Nb1S1C1,-3.1236
Ag1Nb1S1C1-,-3.1135
Ag1Nb1S1N1,-3.1946
Ag1Nb1S1N1-,-3.3155
Ag1Nb1S1O1-,-3.7603
Ag1Nb1S1,-2.4632
Ag1Nb1S2,-3.1785
Ag1Nb1S2-,-3.3180
Ag1Nb1S2+,-3.1428
Ag1Ni1C1,-2.1096
Ag1Ni1C1-,-2.1668
Ag1Ni1C1+,-2.3926
Ag1Ni1C2,-3.3531
Ag1Ni1C2-,-3.5386
Ag1Ni1C2+,-3.5267
Ag1Ni1N1C1,-3.4534
Ag1Ni1N1C1-,-3.7868
Ag1Ni1N1,-1.7537
Ag1Ni1N1-,-1.8376
Ag1Ni1N1+,-1.7740
Ag1Ni1N2,-3.1386
Ag1Ni1N2-,-3.3159
Ag1Ni1N2+,-3.2400
Ag1Ni1O1C1,-3.6271
Ag1Ni1O1C1-,-3.8261
Ag1Ni1O1N1,-2.7753
Ag1Ni1O1N1-,-2.8040
Ag1Ni1O1,-2.0388
Ag1Ni1O1-,-2.3553
Ag1Ni1O1+,-2.2579
Ag1Ni1O2-,-2.9150
Ag1Ni1O2+,-2.3677
Ag1Ni1S1C1,-2.9293
Ag1Ni1S1C1-,-3.0232
Ag1Ni1S1N1,-2.3825
Ag1Ni1S1N1-,-2.3607
Ag1Ni1S1O1,-2.5124
Ag1Ni1S1O1-,-2.6923
Ag1Ni1S1,-2.0074
Ag1Ni1S1-,-1.8420
Ag1Ni1S2,-2.4661
Ag1Ni1S2+,-2.3916
Ag1Os1,-0.8206
Ag1Os1-,-0.9707
Ag1Os1+,-1.2002
Ag1Pd1C1,-1.9211
Ag1Pd1C1+,-2.0832
Ag1Pd1C2,-3.1594
Ag1Pd1C2-,-3.4215
Ag1Pd1C2+,-3.2647
Ag1Pd1N1C1,-3.4253
Ag1Pd1N1C1-,-3.5786
Ag1Pd1N1,-1.4565
Ag1Pd1N1+,-1.6059
Ag1Pd1N2,-2.9422
Ag1Pd1N2-,-3.2491
Ag1Pd1N2+,-3.1289
Ag1Pd1O1C1,-3.4992
Ag1Pd1O1C1-,-3.7928
Ag1Pd1O1N1,-2.5602
Ag1Pd1O1N1-,-2.6650
Ag1Pd1O1,-1.6172
Ag1Pd1O1+,-1.7359
Ag1Pd1O2-,-2.4580
Ag1Pd1O2+,-2.0499
Ag1Pd1S1C1-,-2.9004
Ag1Pd1S1N1,-2.1238
Ag1Pd1S1N1-,-2.1932
Ag1Pd1S1O1,-2.2127
Ag1Pd1S1O1-,-2.3057
Ag1Pd1S1,-1.7674
Ag1Pd1S1+,-1.8243
Ag1Pd1S2,-2.1690
Ag1Pd1S2+,-2.1972
Ag1Pt1,-1.0650
Ag1Pt1-,-0.9070
Ag1Pt1+,-0.9084
Ag1Re1,-0.5877
Ag1Re1-,-0.6405
Ag1Re1+,-1.1390
Ag1Rh1C1,-2.6214
Ag1Rh1C1+,-2.6464
Ag1Rh1C2,-3.2935
Ag1Rh1C2+,-3.3986
Ag1Rh1N1C1,-3.4228
Ag1Rh1N1C1-,-3.6746
Ag1Rh1N1,-1.9073
Ag1Rh1N1+,-1.8918
Ag1Rh1N2,-3.0452
Ag1Rh1N2-,-3.2485
Ag1Rh1N2+,-3.2028
Ag1Rh1O1C1,-3.7249
Ag1Rh1O1C1-,-3.8193
Ag1Rh1O1N1,-2.7179
Ag1Rh1O1N1-,-2.9877
Ag1Rh1O1+,-2.0665
Ag1Rh1O2,-2.7438
Ag1Rh1O2+,-2.5669
Ag1Rh1S1C1-,-3.0101
Ag1Rh1S1N1,-2.4341
Ag1Rh1S1O1,-2.5377
Ag1Rh1S1O1-,-2.6630
Ag1Rh1S1,-1.9334
Ag1Rh1S1+,-2.0327
Ag1Rh1S2,-2.4165
Ag1Rh1S2-,-2.5465
Ag1Rh1S2+,-2.3898
Ag1Ru1C1,-2.7464
Ag1Ru1C1+,-2.6563
Ag1Ru1C2-,-3.5143
Ag1Ru1C2+,-3.6042
Ag1Ru1N1C1,-3.4040
Ag1Ru1N1C1-,-3.6657
Ag1Ru1N1,-2.2987
Ag1Ru1N1+,-2.3517
Ag1Ru1N2,-3.0154
Ag1Ru1N2-,-3.2332
Ag1Ru1N2+,-3.1836
Ag1Ru1O1C1,-3.6793
Ag1Ru1O1N1,-2.8900
Ag1Ru1O1N1-,-3.2769
Ag1Ru1O1,-2.2496
Ag1Ru1O2,-3.1360
Ag1Ru1O2-,-3.4858
Ag1Ru1O2+,-2.9890
Ag1Ru1S1C1,-3.0629
Ag1Ru1S1N1,-2.7661
Ag1Ru1S1N1-,-2.8981
Ag1Ru1S1O1,-2.8402
Ag1Ru1S1,-2.0062
Ag1Ru1S1+,-2.1545
Ag1Ru1S2,-2.5762
Ag1Ru1S2-,-2.6635
Ag1Ru1S2+,-2.5794
Ag1Sc1C1,-2.0145
Ag1Sc1C1-,-2.0352
Ag1Sc1C1+,-2.1581
Ag1Sc1C2,-3.6261
Ag1Sc1C2+,-3.5845
Ag1Sc1N1C1-,-3.6222
Ag1Sc1N1C1+,-3.4429
Ag1Sc1N1,-2.1465
Ag1Sc1N1+,-2.3322
Ag1Sc1N2,-3.0553
Ag1Sc1N2+,-3.0676
Ag1Sc1O1C1,-3.4847
Ag1Sc1O1C1-,-3.4336
Ag1Sc1O1C1+,-3.4678
Ag1Sc1O1N1,-2.9120
Ag1Sc1O1N1-,-3.0116
Ag1Sc1O1N1+,-2.8870
Ag1Sc1O1,-3.0754
Ag1Sc1O1-,-3.0228
Ag1Sc1O2,-3.5215
Ag1Sc1O2+,-3.2650
Ag1Sc1S1C1,-2.8255
Ag1Sc1S1C1-,-2.7698
Ag1Sc1S1C1+,-2.9924
Ag1Sc1S1N1,-2.7025
Ag1Sc1S1N1+,-2.7039
Ag1Sc1S1O1,-3.3560
Ag1Sc1S1O1-,-3.2705
Ag1Sc1S1O1+,-3.0153
Ag1Sc1S1,-2.4370
Ag1Sc1S2,-3.0789
Ag1Sc1S2+,-2.7035
Ag1Ta1,-0.8677
Ag1Ta1+,-1.0672
Ag1Tc1C1,-2.7285
Ag1Tc1C2-,-3.6405
Ag1Tc1C2+,-3.4908
Ag1Tc1N1C1,-3.4415
Ag1Tc1N1C1-,-3.6580
Ag1Tc1N1+,-2.3798
Ag1Tc1N2,-3.0326
Ag1Tc1N2-,-3.2283
Ag1Tc1N2+,-3.0599
Ag1Tc1O1C1,-3.6622
Ag1Tc1O1C1-,-3.8203
Ag1Tc1O1N1,-3.2514
Ag1Tc1O1N1-,-3.5442
Ag1Tc1O1,-2.4993
Ag1Tc1O2,-3.4663
Ag1Tc1O2-,-3.7431
Ag1Tc1O2+,-3.1589
Ag1Tc1S1C1,-3.0711
Ag1Tc1S1C1-,-3.1287
Ag1Tc1S1N1,-2.9754
Ag1Tc1S1N1-,-3.1007
Ag1Tc1S1O1,-3.0945
Ag1Tc1S1O1-,-3.2067
Ag1Tc1S1,-2.1317
Ag1Tc1S1+,-2.1116
Ag1Tc1S2,-2.7380
Ag1Tc1S2-,-2.8311
Ag1Tc1S2+,-2.6254
Ag1Ti1C1,-2.2163
Ag1Ti1C1-,-2.2034
Ag1Ti1C1+,-2.3951
Ag1Ti1C2,-3.5756
Ag1Ti1C2+,-3.6033
Ag1Ti1N1C1,-3.6020
Ag1Ti1N1C1-,-3.6887
Ag1Ti1N1C1+,-3.5286
Ag1Ti1N1-,-2.5064
Ag1Ti1N1+,-2.4548
Ag1Ti1N2,-3.1589
Ag1Ti1O1C1,-3.5806
Ag1Ti1O1C1+,-3.4799
Ag1Ti1O1N1,-3.3335
Ag1Ti1O1N1-,-3.4371
Ag1Ti1O1N1+,-3.1202
Ag1Ti1O1,-3.1176
Ag1Ti1O1-,-3.1181
Ag1Ti1O2,-3.6941
Ag1Ti1S1C1,-2.9615
Ag1Ti1S1C1-,-2.9267
Ag1Ti1S1C1+,-3.0024
Ag1Ti1S1N1,-3.0362
Ag1Ti1S1N1-,-2.9074
Ag1Ti1S1O1,-3.4237
Ag1Ti1S1O1-,-3.5683
Ag1Ti1S1O1+,-3.2806
Ag1Ti1S1,-2.4150
Ag1Ti1S1-,-2.3468
Ag1Ti1S1+,-2.2291
Ag1Ti1S2,-3.0758
Ag1Ti1S2+,-2.8522
Ag1V1C1-,-2.1620
Ag1V1C1+,-2.0804
Ag1V1C2,-3.4237
Ag1V1C2+,-3.5350
Ag1V1N1C1,-3.4974
Ag1V1N1C1-,-3.6704
Ag1V1N1,-2.4208
Ag1V1N1-,-2.4536
Ag1V1N1+,-2.1207
Ag1V1N2,-3.1088
Ag1V1N2+,-3.0378
Ag1V1O1C1,-3.5263
Ag1V1O1C1-,-3.5563
Ag1V1O1N1,-3.1471
Ag1V1O1N1-,-3.4639
Ag1V1O1,-2.8641
Ag1V1O1-,-2.9216
Ag1V1O2,-3.6364
Ag1V1O2+,-3.4120
Ag1V1S1C1,-2.8541
Ag1V1S1C1-,-2.8476
Ag1V1S1O1,-3.2281
Ag1V1S1O1-,-3.3744
Ag1V1S1-,-2.1995
Ag1V1S1+,-2.1392
Ag1V1S2,-2.8787
Ag1V1S2+,-2.6909
Ag1W1,-0.8380
Ag1W1-,-0.7976
Ag1Y1C1,-2.0087
Ag1Y1C1-,-2.1056
Ag1Y1C1+,-2.2053
Ag1Y1C2-,-3.7814
Ag1Y1C2+,-3.6772
Ag1Y1N1C1-,-3.6910
Ag1Y1N1,-2.1282
Ag1Y1N1-,-2.1860
Ag1Y1N1+,-2.1534
Ag1Y1N2,-3.0352
Ag1Y1N2-,-3.0366
Ag1Y1N2+,-3.1404
Ag1Y1O1C1,-3.4325
Ag1Y1O1C1-,-3.4564
Ag1Y1O1N1,-2.9113
