cluster,Predicted SM
Ir1Nb1Y1Mn1S1O1,5
Pt1Tc1Zr1Ni1O1,4
Hf1Pd1Y2O2N1C1,1
Pd1Mo1Y1Cr1O1C1-,5
W1Hf2Zr1O4+,2
Ta1Hf1Zr2O2N1C1+,2
Nb1Zn3N1+,2
Re1Mn1Cr1Ti1N2,6
Ag2Mo1Cr1N1C3,3
Zn2Co2O2-,7
Pd1Co1Fe1Ti1S2C2+,5
Ir2Ru1V1O3C1-,2
Ru1Zr3O4+,2
Nb2Zr1Ti1S1C2-,3
Os1Ta1Zr2O1N1C2+,2
Os1W1Ta2O4+,1
Pd1Cu1Fe2O3C1+,9
Hf2Sc2O1,2
Ta2Ti2S1C2-,3
Os1Ta3O2N1+,2
Pt1Cu1Sc2O2N2+,1
La1Zn2Cr1N2+,4
Os1Ta1Zr1Ti1O3N1-,2
Ta2Hf1Nb1N1C3+,1
W1Y1Cr1Sc1S1O1+,4
Hg2Re1Y1S2N2-,1
Au1Tc3S1N1,4
Ta2La1Sc1N4-,4
Tc1Nb2V1S1O2-,3
Ta2Hf1Zr1O2N1C1+,2
Ta1Hf1Zr1Ti1O4+,1
Hg1Cu1Cr1V1O1N1+,7
Hf1Cu2V1N1C3-,3
Ta1Fe1Cr2O1C2+,5
W1Ta1Nb2C4+,2
Ta4C4+,1
Rh1Mn3N1+,14
Os1Ta3O2N1C1+,2
Hg1Mn2Cr1N2C2,9
Au1Pd1Cu1Fe1C3+,4
Pd2Ir2,4
Pt1Rh1Mn1Sc1O2N1C1-,7
Ag1Y1Mn2O2C1-,9
Pt3Y1S1+,1
Cd1Rh1Ru1Tc1O1N3,1
Hf1Rh2Ti1S2C1+,2
Co4O1-,9
Hf3Ag1N2,3
Hf2Tc1Cr1O1N3+,6
Zn1V3C3,2
W1La1Mo1Fe1S1O1N1C1,3
Cr3Sc1S2-,5
Cd1Mo2Zn1O2C1+,2
Tc2V2S1C1+,2
Os1W1Fe1Cr1S2C1,7
Au1Pt2Zn1O4,2
Pt2Fe1Mn1O2,8
Zr1Co3S2-,7
Pd1Zr1Y1Co1S1N1,2
Hg1Au1V1Ti1N1C2,2
Pd1Rh1Nb1V1S1+,2
Os1Hf1Zr2O3C1+,2
W1Ta1Cu1Ni1O2C1-,2
Hg1Mo3C1+,2
Hg2Ag1Ti1O1N2,1
Re1Ta1Nb1Y1S1C1+,2
Os1Nb1Zn2S1O1C2+,1
Zr3Ni1S2C1,1
Hf3Ag1N1,3
W1Hf1Rh1Mn1S1O1,6
Ir2Nb2O1+,2
Re1Hf2Ru1S2N1C1+,2
Os3Zn1N1,2
Hg3Ru1O1+,2
Ti1Hf1Au1Hg1,4
Os3La1S1-,3
Cu1Zr1Pd1W1,2
Re2Hf1Ni1S1C1+,3
Ta1Nb1Fe1V1O3+,3
Os1Zn3S1+,2
Re1W1Y1Ni1S1O1-,2
Ag1Pd2Sc1O1N1,2
Zr4O1-,2
Re1Co3S1N3+,7
Au1Os1Fe1Sc1O2C1+,6
Ta2Hf1Ti1O4-,3
Re1Ta2Hf1O2C2+,2
Ta1Mo3S1+,1
Hf1Cd1Mo1Co1O1C1,4
Mo1Cr3N1C1+,9
W1Ta2Hf1O4+,1
Ir1Hf2Nb1O2C2+,2
Ta1Tc3S3+,2
Cd1Zn2Ni1N3C1-,1
Ru4C1,7
Mo2Cr2C2-,4
Ir1Hf1Rh1V1S2N2-,3
La3Fe1O1N3+,4
Ta2Nb1Zr1C4+,2
Hf2Tc1Co1S1O1C1+,2
Y1Ti3S1O1-,3
Os1Ta1Nb2O3C1+,2
Tc1Nb2Zr1O4+,2
Pt1Cd1Tc1Mn1S4+,6
Pd1Ru1Mo1V1O2N2,3
Ta1La1Ag1Ti1O1N2-,2
Au1Ag1Ru1Cu1S1N2C1-,2
Ir2Hf1Co1S4+,4
Au1Cd1Ag2N1C3-,1
Ta1Cd1Ag1V1S1C1+,1
La1Zr1Y1Cu1O1,2
Os1Re1Mo1Mn1C2-,4
Re1Ag1Y1Zn1S1O1C1,2
Ir1Ta2La1O3C1+,1
Ta1Hf2Ti1O3C1+,1
Pt1Ta2Zr1O3N1+,2
Nb1Mo1Ta1Hg1-,2
Os1Nb3O4+,1
Sc1Ni1Zr1Cd1-,3
