cluster,Predicted SM
Ta1Hf1Zr1Y1O4+,1.5914106403586827
Y2Ni2O1C2-,2.2059235569113
Os1Ta1Hf1La1O4-,1.9007255914846
Pt1Os1Ru1Nb1O1N1C1+,2.5827908124418504
Hg1Au1Re1Ru1S1O3+,2.191323032407735
Rh1Co3O2-,8.528522900406804
Fe4S1-,14.328742440793215
Os1Zr2Ti1O4,1.622737316504048
Mn2Y1Cd1+,9.298811808531308
La2Zr2O1N1C1+,2.270322208763705
Tc1Mo2Ni1O1N3,2.358771643360408
Pt1Hf1Cd1Ag1O2N1+,1.6252693879722866
Re1Hf1Sc2S2O1C1,1.7757600196073695
Ru2Ni2N3+,2.919071390272451
Sc1Mn1Cu1Zn1,4.143697283053214
Pt3Sc1O1-,2.0862509982006543
Ir2Ti2S3,2.172369938188325
Hg1Os1La1Pd1O2N1C1-,1.65507563993622
Y3Cu1N3-,2.262754564765765
Os1W1Ta1Ni1O1C1,2.128729456428819
Ta2Hf2N2C2+,1.5229975374647562
Fe3Pt1-,13.885260190067784
Ru3Cu1S1N1C2-,3.149145493025217
La1Ru1Y1Fe1N3,4.909278808139398
Hg1Au1Hf1Pd1S3,1.6266446177807443
Ta2Ru1Zr1O3C1-,2.0293471893285475
Hf1Zr1Zn2C4,1.7123304051220034
W1Zr1Y1Fe1N3C1-,3.952664353686653
W1Cu1Fe1Sc1N2C1-,3.544563163654445
Ir1Ag1Zn1Ni1S1C3+,2.1875382352234385
Au1Re2Ta1S1O1C2-,1.8373430897378924
Os1Zr2V1O4+,1.7297566562612443
Au1Hf1Co1Cr1C4,4.193951572984909
Ag2Tc2C1,5.111236661047895
Ir1Nb1Y1Mn1S1O1,4.625771972556672
Pt1Tc1Zr1Ni1O1,3.835216219155578
Hf1Pd1Y2O2N1C1,1.732718100656796
Pd1Mo1Y1Cr1O1C1-,5.016635660569174
W1Hf2Zr1O4+,1.5845908499927666
Ta1Hf1Zr2O2N1C1+,1.733442308144456
Nb1Zn3N1+,2.557780951474026
Re1Mn1Cr1Ti1N2,6.169100374035408
Ag2Mo1Cr1N1C3,3.4890895264193498
Zn2Co2O2-,6.581292153879315
Pd1Co1Fe1Ti1S2C2+,4.441143532423023
Ir2Ru1V1O3C1-,2.610050559980432
Ru1Zr3O4+,1.5868025487309825
Nb2Zr1Ti1S1C2-,2.0014010681668
Os1Ta1Zr2O1N1C2+,1.5831832459626511
Os1W1Ta2O4+,1.5798979550566463
Pd1Cu1Fe2O3C1+,8.154911746634706
Hf2Sc2O1,1.9271805634480657
Ta2Ti2S1C2-,2.315876378036475
Os1Ta3O2N1+,1.6711762899608735
Pt1Cu1Sc2O2N2+,1.4926652760358747
La1Zn2Cr1N2+,3.803259356239556
Os1Ta1Zr1Ti1O3N1-,2.016678897948458
Ta2Hf1Nb1N1C3+,1.505022746157894
W1Y1Cr1Sc1S1O1+,3.8828627231578263
Hg2Re1Y1S2N2-,1.612342932736607
Au1Tc3S1N1,3.6489592298931006
Ta2La1Sc1N4-,3.487563260136143
