cluster,AEPA
Ni1Sc1O1C1-,3.7920
Ir1Ni1S1O1,3.3610
Ru1Zn1N2+,3.0910
Zr1Ti1S1,3.0928
Zr1Ti1S2,3.9703
Mo1Ta1,1.9639
Y1Au1-,0.9180
Os1Rh1S1C1-,3.6590
Pt1Tc1O1N1,3.5824
Ta2S2+,4.3430
Pt1Zr1S1-,3.6506
Os1Rh1S1C1+,3.8106
Re1Ag1O1C1-,3.7108
Ta1Mo1S2+,3.8660
Cd1Ru1S1N1+,2.5257
Ta1Mo1S2-,3.6091
Cd1Ru1S1N1-,2.5618
Nb1V1S1N1-,3.7831
Hg1Sc1S1C1,2.4375
Ir1Nb1S1O1,4.2961
Re1Ni1S1+,2.5950
Cu1V1S1C1,3.0776
Re1Ni1S1-,2.3284
Sc1Pd1-,1.7777
Ag1Mo1O2,3.5836
Ag1Mo1O1,2.5224
Nb1Mn1O1C1+,4.1167
Re1Rh1C2,3.9764
Nb1Mn1O1C1-,3.9045
Zn1Ti1O1,2.6263
Re1Rh1C1,2.9811
Sc1Pd1+,1.8230
Ag1Nb1O1N1+,3.7009
Ag1Nb1O1N1-,3.8571
Y1Ti1S1O1-,4.0293
Os1Nb1O1,4.0064
La1Y1S1C1+,3.8817
Os1La1O1+,3.4792
Ta1Cr1N1,2.8873
Os1La1O1-,3.5126
Ag1Cr1N1C1,3.2406
La1Y1S1C1-,3.5691
Tc1Au1+,1.3369
Au1Re1S1-,2.3122
Ir2S1N1+,3.5673
Hg1Zn1C2+,2.8041
Cd1Fe1S1N1-,2.2149
Au1Os1S1O1+,3.2028
Rh1Fe1S1O1+,3.0608
Au1Os1S1O1-,3.4811
Hg1Zn1C2-,2.5930
Cd1Fe1S1N1+,2.3881
Zr1Mn1N2,3.7555
W1Sc1S1O1,4.0558
Y1Ir1+,2.7626
Y1Co1C2-,4.0105
Rh1Cr1N1C1,3.6403
Y1Co1C2+,4.1274
Cd1Ti1O1C1,3.2216
Ir1Au1,1.1690
Nb1Co1C1-,3.0338
Os1Nb1O1N1+,4.2223
Zn1V1C2,3.2199
Re1Mn1S1O1,3.3975
W1La1N1,3.2612
Nb1Co1C1+,3.1492
Os1Nb1O1N1-,4.4717
Hg1Co1N1+,1.2854
La1Tc1O1N1+,4.0381
