cluster,EZPE
V1C1+,-981.692275
V1N1-,-998.757269
V1N1+,-998.473277
Zn1O1+,-1854.228212
V1O1-,-1019.296159
Zn1O1-,-1854.60999
Zr1S1,-445.238533
V1O1+,-1019.010029
Zn1S1,-2177.582767
V1S1-,-1342.259133
Zn1N1+,-1833.723533
V1S1+,-1341.961253
W1C1-,-105.05168
W1C1+,-104.691357
Zn1S1-,-2177.650428
W1N1-,-121.824307
Zn1S1+,-2177.27222
W1N1+,-121.462062
Zr1C1-,-84.983079
W1O1-,-142.32121
Zr1N1,-101.726105
W1O1+,-142.014336
Zr1C1+,-84.700329
W1S1-,-465.285144
Zr1N1-,-101.77521
W1S1+,-464.979898
Zr1C1,-84.938791
Y1C1-,-76.256747
Zr1N1+,-101.484003
Y1C1+,-75.990531
Y1N1-,-93.022747
Y1N1+,-92.75474
Y1O1-,-113.624692
Y1O1+,-113.361069
Y1S1-,-436.599696
Y1S1+,-436.319259
Zn1C1,-1817.310596
Zr1O1-,-122.322913
Zn1C1-,-1817.344953
Zn1C1+,-1816.993672
Zr1O1+,-122.03634
Zn1N1,-1834.026526
Zr1S1-,-445.282612
Zn1N1-,-1834.048612
Zr1O1,-122.285058
Au2O2+,-421.511828
Co1V1O1N1+,-2456.670962
Os1Ta1N2,-257.199634
Zn1Sc1S1O1,-3013.723724
Au2O2-,-421.945093
Ni1Sc1O1C1+,-2382.238504
Ru1Co1N2-,-1587.28023
Ag2O2+,-444.029238
Zr1V1S1O1-,-1464.697106
Ag2O2-,-444.372188
Ag1Ti1O1,-1071.721363
Ag1Ti1O2,-1147.024287
Ru1Co1N2+,-1586.989583
Tc1Ti1O2+,-1080.630954
Rh1Zr1S1C1,-593.896909
Au1Ni1O1C1+,-1757.207895
Au1Ni1O1C1-,-1757.583506
Ru1Cu1N2-,-1845.029956
Tc1Ti1O2-,-1080.899879
W1Cu1C2+,-1783.466098
Nb1Fe1N1-,-1375.48633
Pd1Y1S1,-564.474303
Cu1Cr1N1C1-,-2777.997896
Pd1Y1S2,-962.780444
Cu1Cr1N1C1+,-2777.73179
Co1V1O1N1-,-2456.948265
Pt1Ir1S1C1,-660.005037
Ni2C2-,-3092.906478
Rh1V1C2,-1130.70599
Ni1Sc1O1C1-,-2382.489486
