cluster,FEPA
Cd1Pd1O2+,-2.0561
Pt1Zn1Co1V1S1C1-,-3.4096
Nb1Zn3S1-,-1.5245
Ir2Zr1O1,-4.1984
Rh1Sc3O1C2+,-4.8959
Os1Ta1Hf1Y1O4,-5.8935
Pt1Ag1Co1Cr1S2O2,-3.6412
Pd1Ni1O1N1-,-3.0194
Hg1Ir1C2-,-3.2583
Co1Sc3O1,-3.5395
Mo1Zr1Cu1Cr1O1N1+,-3.8219
La2Cd1Co1O2C2+,-4.6505
Pt1Hg1-,-0.3784
Pt3O3-,-3.5079
Os2Sc1C2,-4.6596
Co1Fe1S1O1+,-3.2055
Os1La1O1C1,-4.5136
Re2N1,-2.853
La1Ru3O1-,-3.6372
Mo1Fe1O2-,-3.8896
Hg1Nb1N1,-2.2715
Y1Cr2N1,-2.4177
Au1W1Zn1O2N1+,-3.6984
Tc2Sc1N2,-3.8093
Pt1Mo1C1,-2.9697
Fe2W1+,-2.4455
Cr1Co2+,-2.1397
Pt1Ir1Tc1O2+,-3.771
Mo1Sc1N2+,-3.952
Tc1Mo1S1N1-,-3.3498
Hf1Pd1Cr1S1O1-,-3.7446
Ta1Mo1O1N1-,-4.4057
Hg1Ir1Os1S1N1-,-3.1152
Ru3O1C1,-3.9002
Re1Ti1C1,-3.5538
Ru3+,-2.7479
Hf1Rh1Tc1Cu1O1C3-,-4.8922
Os1Cu1O2+,-3.501
Co1Cr1S1O1-,-3.1703
Zr3V1S1O1+,-4.6717
Re1Tc1S2+,-3.2771
Cd2Sc1N1,-1.5013
Ru1Mn1C2,-3.6927
Os1Ni1Cr1Ti1O1N1C2-,-4.8012
Nb1Ni1O1N1,-3.9629
La2Tc1C1,-3.5267
Pd1N1-,-1.8343
Pd1Fe2C1,-2.7619
W3Zn1N1-,-3.5101
Pt2Re1Y1S2O1C1,-4.5407
W2Fe2S1,-3.2418
Pd2Zn2O1,-1.8635
W1Ag1N1C1+,-3.7444
Y1Zn1S1-,-1.8798
W1Ta2Zr1O4,-5.8876
Au1Ta1Nb1Co1O3C1,-5.144
Sc1La2,-1.431
Tc1Co2O1,-3.1976
Os2Ta1Zr1O3C1+,-5.656
Cd1Rh1O1,-1.7072
Cd3S1C1-,-1.4431
Ta1Y1C1+,-3.6765
Co1Hf1+,-2.6276
Pd1Fe1O1+,-2.63
Re1Co1C2,-4.1338
Ti1Zr1+,-1.7044
Ag1Tc1Cu1Co1N1C1-,-3.5113
Y1Co1S2+,-3.7169
Ta1Pd1C2-,-4.21
Ag1Mo1Sc1S1N2-,-3.803
Pd1Ni1N2+,-3.3357
Co1Fe1O2,-3.5242
Ta2Zn1C2,-4.1062
Os1Y1C1-,-3.8938
Cd1Tc2S1,-2.2354
Re1Rh1Mn1Ti1S1O1-,-3.8034
Cu1V2O2,-3.7825
Mn3Ti1O1N1+,-3.3892
Y1V2S1,-2.9695
La1Rh1S1N1+,-3.289
Rh2S1N1,-2.9806
Hf2Ag1S1,-2.9382
Re1La1C1-,-3.392
Os1Pd1Ni1S3-,-3.581
Ir3S1N2,-3.9164
Tc3S3-,-3.9421
Cu1Mn1O1N1-,-2.9746
Zn1Ni1S1C1+,-2.9999
V1Hf1,-1.3295
Hg3Tc1S1C1,-1.9864
La2Fe1S2,-3.6849
Fe3Mo1+,-2.3753
Rh1Cr2S1,-2.2725
Ir1Hf1Ni1Fe1O2-,-4.3647
Hg1Ir2Rh1S2-,-3.0185
Os1Cu1Fe1O2-,-3.7102
La1Cr2N1,-2.3647
Ta1Co1Ti2O2N1+,-5.1368
Ag3Zn1O2+,-2.0716
Cd1Co1S1N1+,-2.3794
Ir1Cd1C1-,-2.7441
Au1Cr1S1C1-,-2.7865
Cu2Sc1S1-,-2.3789
Ru1Cu1N1C1,-3.5246
V2Au1+,-2.0925
Rh1Cr2C1,-2.5061
Ir1Mo1N2-,-3.5291
Y1Sc1S2-,-3.5577
Cd1Zr1S2-,-3.0059
Hf1Y2Ti1C3-,-4.7025
Cd1Ru1Nb1O1+,-3.2176
Os1Hf1Zr1N1-,-4.6724
Os1Zn1Fe1S3+,-3.2977
Ag1Sc1N1C1-,-3.6222
La1Ag1O2+,-3.271
Rh1Y1S1O1+,-3.6644
Ag3Mo1N1C1+,-3.0079
Ag1Nb1Zr1N1C1-,-4.1956
Pd1V1S2-,-3.1842
La2Fe1O2,-4.1876
W1Ti1O1+,-3.4997
Tc1Ti1S1N1-,-3.6537
Y3S1-,-2.5757
Hf1Mn2S2,-3.1774
Au1Hf1Y1V1O1C1+,-4.4967
Pt1W1Ni1S3+,-3.9187
Ti1S1-,-2.3073
Ru2Zr1O1,-3.7703
Cr2V2O2N1C1+,-4.367
Au1Cd1S1O1-,-1.8067
Os1Ta2Zr1O2C2+,-5.8615
Ru1Tc3O2+,-4.0423
Hf3Zr1O2C2+,-5.8123
V3Cu1-,-2.0615
Ag1Ru1V1S1O1+,-3.2931
Re1Sc2S1C2,-4.5311
Hg1Hf1Cu1Mn1O3C1-,-4.0789
Pt1W1N2+,-3.8314
Mo1Fe1S2,-3.0743
Hf1Co3S2N1-,-4.201
Ta1Rh1Ru1Fe1S1C3,-4.8078
La1Rh1Ni1O1N1C1+,-4.4183
La3O1N1+,-4.4724
Pd1Ti1S1O1-,-3.7357
Ru1Hg2,-0.2776
Au1Cd1N1C1,-3.1319
Os1Re1N2-,-4.0011
Y1Fe1C1-,-2.7155
Au1Cu2O2,-2.3415
Os1Nb1Ni1S1N1C1,-4.4984
Re1Sc1N1-,-3.5299
Au1Cr1S1O1,-2.7709
Os2Cu1N2,-3.5546
Cd1Fe1N1-,-1.9723
Ti1Cu1Cd1Hg1-,-1.0064
Y1Re1Os1,-2.6584
Y1Ni1C2+,-4.2534
Au2Ta1V1C1+,-3.4054
Pd1Ni3S1N2-,-3.5301
La1Sc1S2-,-3.5468
Hf1Co1Sc1S2N1+,-4.4572
Re1Mn1C1+,-2.9484
Rh1Co1N2+,-3.4012
Ir2Ti1O2,-4.2592
Ru1Tc1Ti1O3,-4.5636
Tc1Ta2,-3.3384
Fe1Sc1O1N1,-3.7194
Au1Nb1Zr1Cr1N1+,-3.4905
Zr2Co2N1C2-,-4.888
Rh1Cr1S2-,-2.8786
Pd1Nb1S2+,-3.3185
Y1Sc1O1N1-,-4.3286
Ru1V1O1N1-,-3.9023
Au1Ru1S1-,-2.2752
Ir1Cu1S1,-2.3819
Nb3Cu1C2-,-4.4672
V2Zn1,-1.1211
Co1Cd1-,-1.0514
Mn1Cr1O1N1-,-3.083
Fe1Sc1O1N1-,-3.6912
La1Mo2C1,-3.2441
La1Rh1O2,-3.8903
Pt1Cu1N1+,-2.1369
Sc2Tc1,-2.388
Ir1Ta1S1O1-,-4.5156
Ru1Cr1S1C1-,-3.1996
Mo1Ag1-,-0.6757
V2Mn1,-1.5176
Zr2Hf2,-3.0428
Ir1Ni1S1-,-2.4612
Re1Cu1S1,-2.2079
Ir2Ti1N2,-4.2924
W1Ta2Zr1O2N1C1+,-5.8136
Hg1Ag1C2+,-2.6823
W1Zr1S1C1,-4.3209
Zr3O1+,-4.2391
Ta1Tc1Fe1Ti1O1C3-,-5.1507
Os1Fe1O2,-3.8383
Zr1Co2S1,-3.4503
Os1Mo1N1C1+,-4.0561
Mn1V1N1-,-2.7773
Re2Rh1C1,-3.4665
Ag2Mn1Ti1C3,-3.6481
Os1Sc1O1C1-,-4.4318
Ag1Pd2C1,-2.4426
La2Sc1O2,-4.2608
Ag1Cr1S1C1+,-2.7812
Pt1Ta1S1+,-3.5537
Tc2N1C1,-3.9359
Cd1Sc2S1O1C1+,-3.8984
Rh1Sc2C2,-4.2443
Co1Au1+,-1.1588
Ta1Cd2O1C2+,-3.6838
W3S1O1N1-,-4.704
Co1Mn1O1N1+,-3.1611
Ag1Pd1Zr1Fe1S1O2C1,-4.2774
Y1Cu2O1,-2.9164
Ir1Ru1S1C1+,-3.8483
Nb1Mn2S2,-3.1874
Ir1Cu2N1,-2.4739
Tc1Zn1C1+,-2.4975
Os1Re1Cr1N1C1-,-3.9046
La2S1,-2.8843
Pt1Ir1Ni1S1C1,-3.7893
Rh1Mn1S2,-2.9258
Co1Pt2,-2.639
Pt1Os1W1Pd1S1N1C1-,-4.3677
Mo1Nb1Y1Zn1O1N1C1+,-4.3543
La3N1C1+,-4.0784
Hg1Mn3S1-,-1.5809
Mo1Zr1O1N1+,-4.3177
Ta1Cu1O1,-3.4677
Au3Zn1C1+,-2.3903
Zn1O1-,-1.106
Y1Zn1N1C1-,-3.2477
Re2Tc1Zn1O1C2-,-4.319
Fe1Mn1N2,-2.9099
Re1La1Tc1S1O1C1+,-4.4406
Au2Ni2S1C1,-3.075
Ti3O3,-4.9988
Hg1Os1Ni1O1N1,-3.0391
La2Ru1C3-,-4.6373
La1Cd1O2+,-3.1189
Pt1Tc1O2-,-4.1722
Ag1Ti1O2+,-3.6651
Ni3O1C2+,-4.3716
W1Ti1C2-,-4.4235
Cd1Co1N1,-1.6002
Re1Pd1O1C1-,-3.8833
W1Ti2O2,-4.5286
Sc1Mo2+,-2.2708
Ag3Zn1S1C1-,-2.0384
Ni1V1S1C1,-3.3993
Hg2La2C2-,-2.8847
Tc2Pt1-,-2.4786
Au1Cu3S2-,-2.7685
Fe2N1C1-,-3.5998
Hg1Zn1Sc1N2C1,-3.1071
Zn1V1C1,-1.9138
Pt1Y1C1+,-3.3543
Zr1Zn1O2-,-4.026
La1Ru1S1C1-,-3.7994
Zn1V1O2,-3.3932
Tc2Y1N1,-3.4777
Y2O1C1-,-4.0652
Zr2V1S1,-3.3745
Pd2S2-,-2.6669
Ta1Cr1S1C1-,-3.4808
Zn3O1C1+,-2.8033
Rh2Hf1-,-3.1222
Nb1Sc3O2N1-,-4.6755
